Subject,Start Date,Start Time,End Time
Work,1/10/2021,1pm,7pm
Work,2/10/2021,4pm,12pm
Work,3/10/2021,4pm,12pm
Work,6/10/2021,12pm,4pm
Work,8/10/2021,1pm,8pm
Work,11/10/2021,5am,1pm
Work,13/10/2021,12pm,4am
Work,16/10/2021,5am,1pm
Work,17/10/2021,5am,1pm
Work,20/10/2021,12pm,4pm
Work,22/10/2021,1pm,9pm
Work,25/10/2021,5am,1pm
Work,29/10/2021,1pm,7pm
Work,30/10/2021,4pm,12pm
Work,31/10/2021,4pm,12pm
Work,3/11/2021,12pm,4pm
Work,5/11/2021,1pm,8pm
Work,8/11/2021,5am,1pm
Work,10/11/2021,12pm,4am
Work,13/11/2021,5am,1pm
Work,14/11/2021,5am,3pm
Work,17/11/2021,12pm,4pm
Work,19/11/2021,1pm,9pm
Work,22/11/2021,5am,1pm
Work,26/11/2021,1pm,7pm
Work,27/11/2021,4pm,12pm
Work,28/11/2021,4pm,12pm
Work,1/12/2021,12pm,4pm
Work,3/12/2021,1pm,8pm
Work,6/12/2021,5am,1pm
Work,8/12/2021,12pm,4am
Work,11/12/2021,5am,1pm
Work,12/12/2021,5am,1pm
Work,15/12/2021,12pm,4pm
Work,17/12/2021,1pm,8pm
Work,20/12/2021,5am,1pm
Work,24/12/2021,2pm,10pm
Work,26/12/2021,2pm,10pm
