Subject,Start Date,Start Time,End Time
Work,1/10/2021,1:00 PM,7:00 PM
Work,2/10/2021,4:00 PM,12:00 PM
Work,3/10/2021,4:00 PM,12:00 PM
Work,6/10/2021,12:00 PM,4:00 PM
Work,8/10/2021,1:00 PM,8:00 PM
Work,11/10/2021,5:00 AM,1:00 PM
Work,13/10/2021,12:00 PM,4:00 PM
Work,16/10/2021,5:00 AM,1:00 PM
Work,17/10/2021,5:00 AM,1:00 PM
Work,20/10/2021,12:00 PM,4:00 PM
Work,22/10/2021,1:00 PM,9:00 PM
Work,25/10/2021,5:00 AM,1:00 PM
Work,29/10/2021,1:00 PM,7:00 PM
Work,30/10/2021,4:00 PM,12:00 PM
Work,31/10/2021,4:00 PM,12:00 PM
Work,3/11/2021,12:00 PM,4:00 PM
Work,5/11/2021,1:00 PM,8:00 PM
Work,8/11/2021,5:00 AM,1:00 PM
Work,10/11/2021,12:00 PM,4:00 PM
Work,13/11/2021,5:00 AM,1:00 PM
Work,14/11/2021,5:00 AM,3:00 PM
Work,17/11/2021,12:00 PM,4:00 PM
Work,19/11/2021,1:00 PM,9:00 PM
Work,22/11/2021,5:00 AM,1:00 PM
Work,26/11/2021,1:00 PM,7:00 PM
Work,27/11/2021,4:00 PM,12:00 PM
Work,28/11/2021,4:00 PM,12:00 PM
Work,1/12/2021,12:00 PM,4:00 PM
Work,3/12/2021,1:00 PM,8:00 PM
Work,6/12/2021,5:00 AM,1:00 PM
Work,8/12/2021,12:00 PM,4:00 PM
Work,11/12/2021,5:00 AM,1:00 PM
Work,12/12/2021,5:00 AM,1:00 PM
Work,15/12/2021,12:00 PM,4:00 PM
Work,17/12/2021,1:00 PM,8:00 PM
Work,20/12/2021,5:00 AM,1:00 PM
Work,24/12/2021,2:00 PM,10:00 PM
Work,26/12/2021,2:00 PM,10:00 PM
